log_file,nlr_station_id,station_lat,station_lng,station_name
Hyundai_Ioniq5_din_spec_70121_2023-04-07T12:58:32.824Z-ioniq5_dinspec_charge_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Hyundai_Ioniq5_iso15118-2-AC_2023-04-07T13:07:20.067Z-ioniq5-iso15118-AC-not-supported_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Hyundai_Ioniq5_iso15118-2-DC_2023-04-07T13:01:58.695Z-iso15118-charge_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Kia_EV6_2023-04-25T07:25:45.287Z-kia-ev6-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Kia_EV6_2023-04-25T07:33:01.338Z-kia-ev6-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Mercedes-Benz_EQC_din_spec_70121_2023-04-12T08:52:22.344Z-eqc-din-spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Mercedes-Benz_EQC_iso-15118-2-DC_2023-04-12T09:01:48.230Z-eqc-iso15118-2-DC_not_supported_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Mercedes-Benz_EQE_2023-04-18T15:18:18.778Z-1_config-dc-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Mercedes-Benz_EQE_2023-04-18T15:19:14.023Z-2_config-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Mercedes-Benz_EQE_2023-04-18T15:20:45.345Z-3_config-ac-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Opel_Mokka-E_din_spec_70121_2023-04-14T14:18:09.853Z-1_config-dc-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Opel_Mokka-E_din_spec_70121_2023-04-14T14:24:51.377Z-8_config-josev-dc-dinspec_failure_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Opel_Mokka-E_din_spec_70121_2023-04-14T14:33:09.944Z-1_config-dc-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Opel_Mokka-E_iso_15118-2_AC_not_supported_2023-04-14T14:21:01.727Z-3_config-ac-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Opel_Mokka-E_iso_15118-2_DC_2023-04-14T14:19:47.742Z-2_config-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Opel_Mokka-E_iso_15118-2_DC_2023-04-14T14:26:45.452Z-9_config-josev-dc-iso2_failure_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Polestar_Polestar2_din_spec_70121_2023-04-04T11:30:54.757Z-polestar2_din_spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Polestar_Polestar2_iso15118-2_AC_2023-04-05T15:56:33.351Z-polestar2-iso15118-2-AC_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Polestar_Polestar2_iso15118-2_DC_2023-04-04T12:37:00.049Z-polestar2_iso15118-2_dc_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Polestar_Polestar2_iso15118-2_DC_2023-04-06T06:38:18.654Z-polestar2-Josev-iso-2-DC_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Porsche_Taycan_4S_din-spec-70121_2023-04-11T09:36:33.255Z-taycan-din-spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Porsche_Taycan_4S_din-spec-70121_2023-04-11T13:06:54.809Z-taycan-discharge-test_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Porsche_Taycan_4S_iso-15118-2-AC_2023-04-11T09:44:27.990Z-taycan-iso-ac-driverside_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Porsche_Taycan_4S_iso-15118-2-AC_2023-04-11T09:46:34.483Z-taycan-iso-otherside_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Porsche_Taycan_4S_iso-15118-2-DC_2023-04-11T09:29:27.010Z-taycan-iso-2-DC_incomplete-eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Seres_2024-01-10T13:18:27.364Z-1_din_spec_incomplete-eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Seres_2024-01-10T13:30:14.882Z-2_iso2_dc_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Seres_2024-01-10T13:40:14.939Z-2_iso2_ac_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Skoda_Enyaq_v3.0_din_spec_70121_2023-04-04T06:39:32.092Z-skoda_enyaq_din_spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Subaru_Solterra_2023-04-18T15:21:42.626Z-1_config-dc-dinspec_incomplete-eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Subaru_Solterra_2023-04-18T15:23:50.843Z-2_config-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Tesla_Model_3_2023-04-06T11:52:31.423Z-tesla_model_3_dinspec_DC_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Tesla_Model_Y_11.1_din_spec_70121_2023-03-30T11:00:22.659Z-tesla_y-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
Tesla_Model_Y_11.1_iso15118-2_2023-03-30T11:11:20.331Z-tesla_y-iso-not-supported_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.3_din_spec_70121_2023-04-14T12:43:41.612Z-1_config-dc-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.3_din_spec_70121_2023-04-14T12:46:53.182Z-8_config-josev-dc-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.3_din_spec_70121_2023-04-14T12:53:04.615Z-id3pure-dinspec-discharge_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.3_iso_15118-2_AC_2023-04-14T12:45:39.624Z-3_config-ac-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.3_iso_15118-2_DC_2023-04-14T12:44:52.283Z-2_config-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.3_iso_15118-2_DC_2023-04-14T12:48:02.295Z-9_config-josev-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_din_spec_70121_2023-04-14T09:50:13.841Z-1_config-dc-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_din_spec_70121_2023-04-14T09:54:43.610Z-8_config-josev-dc-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_din_spec_70121_2023-04-14T09:57:59.260Z-id4pro-din-spec-with-discharge_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_fw_3.5_2023-04-18T15:40:33.744Z-1_config-dc-dinspec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_fw_3.5_2023-04-18T15:41:38.541Z-2_config-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_fw_3.5_2023-04-18T15:42:52.604Z-3_config-ac-iso2_incomplete-eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_iso_15118-2_AC_2023-04-14T09:52:17.069Z-3_config-ac-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_iso_15118-2_DC_2023-04-14T09:51:11.107Z-2_config-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_iso_15118-2_DC_2023-04-14T09:53:34.808Z-4_config-dc-iso2-pnc_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.4_iso_15118-2_DC_2023-04-14T09:56:00.969Z-9_config-josev-dc-iso2_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
VW_id.buzz_fw_3.2_din_spec_70121_bidirectional_2023-03-30T09:25:58.879Z_id_buzz_discharge_din_spec_eventlog.csv,88157,28.594705,-81.351156,OS MANAGED WP CITY HALL
eventlog.csv,148913,28.5969358,-81.2033461,UCF Parking Lot D-1
eventlog_1.csv,333796,28.5917428,-81.1969024,University of Central Florida - B0016A
eventlog_2.csv,376529,28.5992203,-81.204151,UCF - Teaching Academy Lot B1
example_evse_dos_log.csv,375293,28.603721,-81.201678,BLD 72 BLD 72
eventlog_4.csv,350115,28.5962906173882,-81.21392160534616,The Accolade Collegiate Village West
eventlog_5.csv,354676,28.598609,-81.213349,Orlando FL - University Blvd - Tesla Supercharger
incomplete-eventlog.csv,353934,28.624892,-81.210613,TRAILSIDE STATION 1
